"GAMEID","WEEK","QTR","START","POS","DEF","PASSER","TARGET","AIR YARDS","NOTES","PlayIden","play_id"
4,1,1,"4:41","STL","DAL","J.TA'AMU","M.JONES",5,NA,"4_1_4:41",10013
4,1,1,"4:11","STL","DAL","J.TA'AMU","L.WASHINGTON",26,"penalty not in the pbp","4_1_4:11",10021
4,1,1,"3:15","STL","DAL","J.TA'AMU","A.RUSSELL",27,NA,"4_1_3:15",23629
4,1,1,"2:26","STL","DAL","J.TA'AMU","A.RUSSELL",8,NA,"4_1_2:26",10048
4,1,1,"1:33","STL","DAL","J.TA'AMU","L.WASHINGTON",-1,NA,"4_1_1:33",17781
4,1,1,"0:18","DAL","STL","P.NELSON","F.NAGEL",1,NA,"4_1_0:18",NA
4,1,1,"0:01","DAL","STL","P.NELSON","D.PARHAM",7,NA,"4_1_0:01",17862
4,1,2,"15:00","DAL","STL","P.NELSON","D.PARHAM",5,NA,"4_2_15:00",10192
4,1,2,"14:43","DAL","STL","P.NELSON","C.ARTIS-PAYNE",-5,NA,"4_2_14:43",17807
4,1,2,"14:09","DAL","STL","P.NELSON","F.MARTINO",10,NA,"4_2_14:09",17883
4,1,2,"13:25","DAL","STL","P.NELSON","C.ARTIS-PAYNE",1,NA,"4_2_13:25",17885
4,1,2,"12:46","DAL","STL","P.NELSON","C.ARTIS-PAYNE",-3,NA,"4_2_12:46",17882
4,1,2,"11:48","DAL","STL","P.NELSON","J.FERGUSON",8,NA,"4_2_11:48",17833
4,1,2,"11:14","DAL","STL","P.NELSON","M.YOUNG",-6,NA,"4_2_11:14",17801
4,1,2,"10:06","DAL","STL","P.NELSON","S.PRICE",5,NA,"4_2_10:06",10191
4,1,2,"7:51","STL","DAL","J.TA'AMU","A.RUSSELL",18,NA,"4_2_7:51",10489
4,1,2,"6:57","STL","DAL","J.TA'AMU","N/A",0,NA,"4_2_6:57",17856
4,1,2,"6:28","STL","DAL","J.TA'AMU","K.MUMPHERY",12,NA,"4_2_6:28",23617
4,1,2,"5:44","DAL","STL","P.NELSON","L.DUNBAR",-5,NA,"4_2_5:44",23631
4,1,2,"3:56","STL","DAL","J.TA'AMU","D.PIERSON-EL",-4,NA,"4_2_3:56",17802
4,1,2,"2:00","STL","DAL","J.TA'AMU","C.HUNT",29,NA,"4_2_2:00",10368
4,1,2,"1:55","STL","DAL","J.TA'AMU","M.LUCAS",5,NA,"4_2_1:55",23619
4,1,2,"1:38","STL","DAL","J.TA'AMU","L.WASHINGTON",-2,NA,"4_2_1:38",17827
4,1,2,"1:20","DAL","STL","P.NELSON","F.NAGEL",1,NA,"4_2_1:20",10495
4,1,2,"1:14","DAL","STL","P.NELSON","D.PARHAM",3,NA,"4_2_1:14",17839
4,1,2,"0:54","DAL","STL","P.NELSON","D.PARHAM",4,NA,"4_2_0:54",23630
4,1,2,"0:50","DAL","STL","P.NELSON","D.PARHAM",9,NA,"4_2_0:50",17826
4,1,2,"0:39","DAL","STL","P.NELSON","C.ARTIS-PAYNE",-5,NA,"4_2_0:39",17855
4,1,2,"0:20","DAL","STL","P.NELSON","F.NAGEL",6,NA,"4_2_0:20",17886
4,1,2,"0:14","DAL","STL","P.NELSON","J.FERGUSON",2,NA,"4_2_0:14",17866
4,1,3,"14:26","STL","DAL","J.TA'AMU","M.LUCAS",4,NA,"4_3_14:26",23614
4,1,3,"9:42","DAL","STL","P.NELSON","F.NAGEL",2,NA,"4_3_9:42",17782
4,1,3,"9:04","DAL","STL","P.NELSON","S.PRICE",17,NA,"4_3_9:04",17870
4,1,3,"8:28","DAL","STL","P.NELSON","S.PRICE",5,NA,"4_3_8:28",10626
4,1,3,"7:51","DAL","STL","P.NELSON","L.DUNBAR",-4,NA,"4_3_7:51",17876
4,1,3,"5:45","STL","DAL","J.TA'AMU","W.SAXTON",-1,NA,"4_3_5:45",23626
4,1,3,"5:24","STL","DAL","J.TA'AMU","M.LUCAS",-8,NA,"4_3_5:24",17874
4,1,3,"4:55","STL","DAL","J.TA'AMU","M.LUCAS",3,NA,"4_3_4:55",10692
4,1,3,"4:18","DAL","STL","P.NELSON","M.YOUNG",-5,NA,"4_3_4:18",17854
4,1,3,"3:35","DAL","STL","P.NELSON","M.YOUNG",-1,NA,"4_3_3:35",17786
4,1,3,"2:02","STL","DAL","J.TA'AMU","M.LUCAS",5,NA,"4_3_2:02",23627
4,1,3,"1:14","STL","DAL","J.TA'AMU","A.RUSSELL",12,NA,"4_3_1:14",17794
4,1,3,"0:54","STL","DAL","J.TA'AMU","D.PIERSON-EL",-4,NA,"4_3_0:54",23625
4,1,4,"14:27","STL","DAL","J.TA'AMU","L.WASHINGTON",-2,NA,"4_4_14:27",23616
4,1,4,"13:27","STL","DAL","J.TA'AMU","A.RUSSELL",9,NA,"4_4_13:27",10821
4,1,4,"13:14","DAL","STL","P.NELSON","A.WALTER",-1,NA,"4_4_13:14",17825
4,1,4,"12:45","DAL","STL","P.NELSON","L.DUNBAR",-4,NA,"4_4_12:45",23609
