"DAL_Rating","DC_Rating","HOU_Rating","LA_Rating","NY_Rating","SEA_Rating","STL_Rating","TB_Rating","DAL_Wins","DC_Wins","HOU_Wins","LA_Wins","NY_Wins","SEA_Wins","STL_Wins","TB_Wins","WEST_REG_CHAMP","EAST_REG_CHAMP","WEST_RU","EAST_RU","XFL_RU","XFL_CHAMP","WeeklyWinner1","WeeklyWinner2","WeeklyWinner3","WeeklyWinner4"
1556.04815961086,1469.1010150402,1534.20737338472,1454.91248716031,1541.33081445433,1419.80296820225,1530.60129209263,1493.99589005471,7,4,6,3,7,3,6,4,"DAL","NY","HOU","NY","STL","DAL","NY","DC","HOU","TB"
1502.99891769843,1513.05554892073,1592.13484106577,1504.46016478003,1476.03473700951,1420.86225517167,1534.39520200276,1456.05833335109,5,6,8,6,3,3,7,2,"HOU","STL","LA","STL","DC","HOU","NY","DC","HOU","LA"
1512.4389400142,1514.24229036372,1574.75057741008,1472.35071846254,1539.20949820401,1421.41548189512,1509.91138788742,1455.68110576292,6,6,7,4,7,3,5,2,"HOU","NY","DAL","NY","DC","HOU","NY","DC","HOU","LA"
1462.47031840378,1491.57914551583,1581.90112854425,1499.05385082645,1526.53453204424,1381.93767192321,1543.07909641642,1513.44425632581,3,5,9,5,6,1,6,5,"HOU","STL","HOU","NY","LA","STL","NY","STL","HOU","TB"
1512.92113052366,1485.34102412757,1575.22310668215,1474.40460310104,1513.34354237086,1381.92562147657,1581.38013687519,1475.46083484294,6,5,7,4,5,1,9,3,"HOU","STL","DAL","DC","STL","HOU","NY","STL","HOU","TB"
1481.42797595721,1487.60765976619,1610.77265850107,1467.9706043953,1520.95342819122,1420.95607295694,1517.40451451026,1492.90708572182,4,5,9,4,6,3,5,4,"HOU","NY","LA","NY","STL","HOU","NY","DC","HOU","LA"
1507.58136926112,1480.55552360882,1617.40628326056,1478.32216547416,1496.03197646466,1401.94019872817,1525.70332533631,1492.4591578662,4,5,10,5,4,2,6,4,"LA","STL","LA","DC","STL","DAL","NY","DC","HOU","LA"
1494.77764248065,1452.12968959294,1610.4856517322,1436.97576498002,1558.46018962703,1399.95295629602,1554.28970214628,1492.92840314485,5,3,9,2,7,2,8,4,"HOU","STL","DAL","STL","NY","HOU","NY","DC","HOU","TB"
1517.96153023834,1473.07488723612,1616.4127766406,1435.43633631915,1549.77463594926,1414.33294063477,1499.56828757378,1493.43860540799,5,4,10,2,7,3,5,4,"DAL","NY","SEA","STL","NY","DAL","NY","STL","HOU","LA"
1488.30101638445,1454.58729255323,1615.9358079822,1480.92490631771,1515.01526765135,1400.41501753002,1519.00494067385,1525.81575090718,5,3,10,3,5,2,6,6,"DAL","TB","DAL","STL","TB","LA","NY","STL","HOU","TB"
1477.1792180796,1536.29311675511,1588.67514708326,1455.26500972395,1534.8474114474,1399.45638548593,1514.21580728006,1494.06790414468,4,6,9,3,6,2,6,4,"HOU","STL","DAL","STL","HOU","DC","NY","STL","HOU","TB"
1481.38620522365,1471.2056261436,1590.54846737483,1434.49723667241,1513.45360811179,1454.21435431449,1536.07059415916,1518.62390800007,4,4,8,2,5,5,7,5,"HOU","STL","SEA","STL","TB","HOU","NY","DC","HOU","LA"
1537.29632228107,1453.08046618322,1532.21891964804,1474.8943449106,1506.21748204319,1439.34867283998,1563.0073175014,1493.9364745925,7,3,6,4,5,4,7,4,"DAL","STL","HOU","NY","DAL","STL","NY","STL","HOU","LA"
1477.70045434806,1471.50039809682,1609.9276607167,1474.32345324589,1497.11113851092,1400.47234684349,1581.3900109014,1487.57453733672,4,4,9,4,4,2,9,4,"HOU","STL","DAL","TB","STL","HOU","NY","STL","HOU","TB"
1462.50505650739,1470.2014684917,1565.73209783555,1518.34405555212,1525.04248651403,1438.33593319996,1526.31725929853,1493.52164260073,3,4,8,5,6,4,6,4,"HOU","STL","HOU","NY","STL","LA","NY","DC","HOU","LA"
1463.53109203567,1472.14220661875,1546.81526255722,1515.07868713594,1556.00976442655,1419.86519371523,1533.68798022987,1492.86981328078,3,4,7,6,6,3,7,4,"HOU","STL","HOU","STL","LA","NY","NY","STL","HOU","LA"
1500.36018584558,1434.054779898,1609.60810844561,1486.48247582546,1539.57769951113,1402.81430494795,1534.75444553459,1492.34799999168,5,2,9,5,6,2,7,4,"HOU","STL","LA","STL","NY","HOU","NY","STL","HOU","LA"
1500.45987302171,1527.06898293165,1583.2965345028,1499.66465135987,1506.11921890123,1400.90550903236,1471.62967594676,1510.85555430362,5,6,9,5,5,2,3,5,"HOU","DC","HOU","NY","LA","DC","NY","DC","HOU","TB"
