PlayID,GameID,DriveID,Sequence,TeamID,ClubCode,Quarter,StartTime,Down,Distance,Yardline,Situation,PlayType,StartHomeScore,StartAwayScore,IsScoringPlay,EndTime,EndHomeScore,EndAwayScore,ScoringPlayDescription,PlayDescription,ShortPlayDescription,FirstDownDescription,DriveTotalPossessionTime,DriveNetYards,DrivePlays,playScoreType,playScorer,playScoringTeamId,firstDownReset,Notes
14286,7,6159,35,600,DAL,2,13:41,1,10,DAL 30,1st & 10 DAL 30,Pass,0,0,FALSE,13:10,0,0,,"(No Huddle, Shotgun) L.Jones pass short right to D.Parham to DAL 38 for 8 yards (M.Stevens)",8 yard pass,,2:30,41,5,,,0,TRUE,
14287,7,6159,36,600,DAL,2,13:10,2,2,DAL 38,2nd & 2 DAL 38,Rush,0,0,FALSE,12:32,0,0,,(Shotgun) C.Artis-Payne rush up the middle to DAL 41 for 3 yards (M.Stevens; T.Williams),3 yard rush,R6,2:30,41,5,,,0,FALSE,
14290,7,6159,37,600,DAL,2,12:32,1,10,DAL 41,1st & 10 DAL 41,Pass,0,0,FALSE,12:23,0,0,,"(No Huddle, Shotgun) L.Jones pass short right to S.Price to DAL 49. FUMBLES. recovered by R.Howard given up at the LA 47",8 yard fumble,,2:30,41,5,,,0,TRUE,
14292,7,6158,38,602,LA,2,12:23,1,10,LA 47,1st & 10 LA 47,Pass,0,0,FALSE,11:47,0,0,,(Shotgun) J.Johnson sacked at LA 45 for -2 yards (G.Rivers),-2 yard sack,,2:13,6,3,,,0,FALSE,
14293,7,6158,39,602,LA,2,11:47,2,12,LA 45,2nd & 12 LA 45,Pass,0,0,FALSE,11:08,0,0,,(Shotgun) J.Johnson pass short right to B.Barnes to DAL 47 for 8 yards (R.Davison),8 yard pass,,2:13,6,3,,,0,FALSE,
14294,7,6158,40,602,LA,2,11:08,3,4,DAL 47,3rd & 4 DAL 47,Pass,0,0,FALSE,10:19,0,0,,(Shotgun) J.Johnson sacked at DAL 47 for 0 yards (R.Davison),0 yard sack,,2:13,6,3,,,0,FALSE,
14225,7,6158,41,602,LA,2,10:19,4,4,DAL 47,4th & 4 DAL 47,Punt,0,0,FALSE,10:10,0,0,,(Shotgun) S.Tripucka punts for 28 yards to DAL 19. Fair Catch by F.Nagel.,28 yard punt,,2:13,6,3,,,0,FALSE,
14232,7,6161,42,600,DAL,2,10:10,1,10,DAL 19,1st & 10 DAL 19,Pass,0,0,FALSE,9:40,0,0,,(Shotgun) L.Jones pass short left to J.Badet to DAL 26 for 7 yards (A.Dixon),7 yard pass,,2:42,14,5,,,0,FALSE,
14384,7,6161,43,600,DAL,2,9:40,2,3,DAL 26,2nd & 3 DAL 26,Pass,0,0,FALSE,9:11,0,0,,"(No Huddle, Shotgun) L.Jones pass short left to C.Artis-Payne out of bounds at DAL 30 for 4 yards (R.Tatum)",4 yard pass,P7,2:42,14,5,,,0,FALSE,
14386,7,6161,44,600,DAL,2,9:11,1,10,DAL 30,1st & 10 DAL 30,Pass,0,0,FALSE,8:47,0,0,,"(No Huddle, Shotgun) L.Jones pass incomplete short right to D.Parham.",Incomplete pass,,2:42,14,5,,,0,TRUE,
